"PROIZVODNJA / VRSTA ELEKTRARNE","1996","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Proizvodnja na generatorju - skupaj",12737.000,15272.000,15117.000,15115.000,15043.000,16398.000,16403.000,16440.000,16059.000,15736.000,16103.000,17437.000,15100.000,16500.000,16326.225,16326.935,16099.564,17190.698,15876.922
"Proizvodnja na generatorju - hidroelektrarne",3668.000,4095.000,3461.000,3591.000,3266.000,4018.000,4715.000,4703.000,3706.000,4087.000,4923.000,6366.000,4091.000,4782.000,4140.920,4892.993,4682.538,5224.743,4997.067
"Proizvodnja na generatorju - hidroelektrarne - od tega s preèrpavanjem",-,-,-,-,-,-,-,185.000,144.000,188.000,294.000,274.000,283.000,279.000,272.575,188.673,203.143,290.683,284.556
"Proizvodnja na generatorju - termoelektrarne",4507.000,5718.000,5772.000,5975.000,6082.000,6107.000,5945.000,6067.000,6073.000,5958.000,5661.000,4440.000,5081.000,5730.000,5610.450,5396.521,5286.580,5238.742,4715.198
"Proizvodnja na generatorju - jedrska elektrarna",4562.000,5459.000,5884.000,5548.000,5695.000,6273.000,5739.000,5657.000,6215.000,5528.000,5300.000,6370.000,5648.000,5715.000,6285.272,5776.439,5821.257,6352.766,5705.951
"Proizvodnja na generatorju - sonène elektrarne",-,0.000,0.000,0.000,0.000,1.000,4.000,13.000,66.000,162.000,215.000,257.000,274.000,267.000,283.867,254.961,303.039,368.196,453.113
"Proizvodnja na generatorju - vetrne elektrarne",-,-,-,-,-,-,0.000,0.000,0.000,1.000,4.000,4.000,6.000,6.000,5.716,6.021,6.150,6.251,5.593
"Proizvodnja na pragu - skupaj",11972.000,14308.000,14149.000,14117.000,14044.000,15357.000,15375.000,15410.000,15001.000,14705.000,15117.000,16486.000,14187.000,15546.000,15396.876,15441.970,15224.354,16289.674,15048.057
"Proizvodnja na pragu - hidroelektrarne",3616.000,4034.000,3407.000,3536.000,3215.000,3959.000,4643.000,4636.000,3649.000,4028.000,4855.000,6284.000,4032.000,4721.000,4085.016,4830.775,4622.091,5159.168,4932.026
"Proizvodnja na pragu - hidroelektrarne - od tega s preèrpavanjem",-,-,-,-,-,-,-,184.000,143.000,187.000,293.000,273.000,282.000,278.000,271.498,187.919,202.329,289.521,283.442
"Proizvodnja na pragu - termoelektrarne",3997.000,5062.000,5129.000,5291.000,5400.000,5425.000,5268.000,5380.000,5384.000,5271.000,5007.000,3880.000,4503.000,5121.000,5054.639,4860.864,4760.662,4715.292,4238.768
"Proizvodnja na pragu - jedrska elektrarna",4359.000,5212.000,5614.000,5290.000,5428.000,5972.000,5460.000,5381.000,5902.000,5244.000,5036.000,6061.000,5372.000,5431.000,5967.827,5489.908,5532.981,6040.846,5418.643
"Proizvodnja na pragu - sonène elektrarne",-,0.000,0.000,0.000,0.000,1.000,4.000,13.000,66.000,162.000,215.000,257.000,274.000,267.000,283.678,254.402,302.470,368.117,453.027
"Proizvodnja na pragu - vetrne elektrarne",-,-,-,-,-,-,0.000,0.000,0.000,1.000,4.000,4.000,6.000,6.000,5.716,6.021,6.150,6.251,5.593
